label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,8893,2,350.1304,7.002078,0.7642753,,,,,0,0,350.1304,15675.84,18474.84,9883.32
,0,8894,3,332.8373,13.76077,0.8465586,,,,,0,0,332.8373,42005.56,23620.23,17895.03
,0,8895,3,364.2133,4.017289,0.8388228,,,,,0,0,364.2133,17212.39,30240.5,38468.26
,0,8896,3,314.9688,13.92303,0.8469247,,,,,0,0,314.9688,39466.18,50990.53,40174.93
,0,8897,2,314.9712,13.42177,0.7370424,,,,,0,0,314.9712,10063.2,9809.926,12037.97
,0,8898,2,294.1102,2.02955,0.8474488,,,,,0,0,294.1102,49249.42,29859.89,20060.46
,0,8899,2,480.6975,1.866622,0.8410912,,,,,0,0,480.6975,73237.95,43957.32,48591.68
,0,8900,2,580.3129,2.459467,0.8446113,,,,,0,0,580.3129,23852.4,32815.64,41858.57
,0,8901,2,140.9909,13.89645,0.7976668,,,,,0,0,140.9909,10894.4,9615.065,6399.6
,0,8902,2,455.0381,1.863472,0.8439711,,,,,0,0,455.0381,33213.16,13778.82,29608.82
,0,8903,3,458.2914,4.026734,0.84927,,,,,0,0,458.2914,25287.28,36845.48,36141
,0,8904,3,581.3655,6.885989,0.8498009,,,,,0,0,581.3655,41042.39,47187.89,50064.8
,0,8905,2,277.2024,2.644556,0.8496001,,,,,0,0,277.2024,11977.9,12799,30440.72
,0,8906,3,534.3434,2.424845,0.8463546,,,,,0,0,534.3434,28013.05,34402.42,43894.46
,0,8907,3,201.0405,12.73792,0.7350493,,,,,0,0,201.0405,83108.15,66908.73,50589.47
,0,8908,2,201.0405,12.23825,0.5633624,,,,,0,0,201.0405,37295.66,33675.8,41000.2
,0,8909,3,381.0558,2.032667,0.8441747,,,,,0,0,381.0558,50356.48,40896.51,43973.39
,0,8910,2,389.182,2.736639,0.754074,,,,,0,0,389.182,40699.29,38212.1,35547.37
,0,8911,2,600.2897,2.443717,0.8068496,,,,,0,0,600.2897,29329.31,26445.17,29448.72
,0,8912,2,587.1087,2.371361,0.83305,,,,,0,0,587.1087,35048.55,14353.77,44872.36
,0,8913,2,587.1082,2.070961,0.8435047,,,,,0,0,587.1082,8642.604,13899.03,18248.71
,0,8914,3,154.9905,3.973056,0.8495273,,,,,0,0,154.9905,47799.8,42745.79,27137.19
,0,8915,2,154.9906,2.490817,0.8017708,,,,,0,0,154.9906,20018.07,22773.93,7097.573
,0,8916,3,316.277,2.704711,0.8498712,,,,,0,0,316.277,50074.25,46015.53,43933.38
,0,8917,3,339.196,3.995161,0.8493559,,,,,0,0,339.196,38291.15,31902.41,38814.69
,0,8918,3,348.1333,7.002145,0.8402527,,,,,0,0,348.1333,61762.68,49907.73,51893.86
,0,8919,2,551.3738,2.440506,0.7146921,,,,,0,0,551.3738,40127.48,9410.425,24735.03
,0,8920,3,173.0312,16.55932,0.7362906,,,,,0,0,173.0312,55621.07,50153.29,44040.79
,0,8921,2,528.2685,2.594128,0.8134134,,,,,0,0,528.2685,8568.517,25404.06,24012.26
,0,8922,3,243.0665,2.0961,0.8462585,,,,,0,0,243.0665,43905.8,57392.75,47716.56
,0,8923,3,243.0665,4.020389,0.7967558,,,,,0,0,243.0665,22182.59,19760.54,30780.32
,0,8924,3,243.0664,2.610028,0.7610055,,,,,0,0,243.0664,11937.35,24335.29,21815.2
,0,8925,3,559.2397,2.720673,0.8474691,,,,,0,0,559.2397,50160.43,51217.25,51056.33
,0,8926,2,559.2426,2.147372,0.7714764,,,,,0,0,559.2426,18679.22,17348.22,17264.05
,0,8927,2,559.2393,4.010928,0.7690887,,,,,0,0,559.2393,18777.2,16878.99,18963.07
